,status,age_group,education,industry,location,ai_risk,monthly_salary_(inr),date_recorded
0,1,25-34,high_school,tech,urban,high,40700.0,2023-01-01
1,1,18-24,diploma, fintech,rural,medium,40700.0,2023-01-02
2,1,25-34,high_school,retail,urban,low,77600.0,2023-01-03
3,0,18-24,master,retail,urban,low,100200.0,2023-01-04
4,1,45-54,diploma, fintech,urban,low,40700.0,2023-01-05
5,0,25-34,phd,tech ,urban,high,54500.0,2023-01-06
6,1,35-44,master,retail,urban,medium,112400.0,2023-01-07
7,0,35-44,master,retail,rural,low,40700.0,2023-01-08
8,1,35-44,phd,retail,urban,medium,103600.0,2023-01-09
9,0,55-65,phd,tech ,urban,high,112400.0,2023-01-10
10,0,45-54,master,retail,urban,high,73400.0,2023-01-11
11,0,45-54,high_school,tech,urban,high,40700.0,2023-01-12
12,0,35-44,high_school,retail,urban,high,73565.5172413793,2023-01-13
13,1,18-24,phd,tech ,rural,low,112400.0,2023-01-14
14,1,45-54,high_school,health,urban,low,112400.0,2023-01-15
15,0,18-24,bachelor,health,urban,medium,40700.0,2023-01-16
16,1,25-34,high_school,retail,urban,low,109300.0,2023-01-17
17,1,18-24,phd,tech ,rural,high,112400.0,2023-01-18
18,0,25-34,bachelor, fintech,rural,low,62400.0,2023-01-19
19,1,18-24,bachelor,retail,urban,medium,101100.0,2023-01-20
20,0,35-44,high_school,retail,urban,low,108000.0,2023-01-21
21,0,18-24,bachelor,health,urban,medium,112400.0,2023-01-22
22,1,35-44,bachelor,health,urban,high,112400.0,2023-01-23
23,1,18-24,master,retail,urban,high,78984.21052631579,2023-01-24
24,0,25-34,phd,tech,urban,medium,107700.0,2023-01-25
25,0,18-24,master,health,urban,low,72056.45161290323,2023-01-26
26,1,18-24,bachelor,tech ,rural,medium,59000.0,2023-01-27
27,0,18-24,bachelor,health,urban,medium,112400.0,2023-01-28
28,0,35-44,bachelor,education,suburban,high,80800.0,2023-01-29
29,1,18-24,master,health,urban,low,40700.0,2023-01-30
30,0,18-24,bachelor,health,urban,high,40700.0,2023-01-31
31,0,25-34,high_school,tech,urban,high,40700.0,2023-02-01
32,1,25-34,high_school,finance,urban,high,112400.0,2023-02-02
33,0,45-54,phd,retail,urban,low,86800.0,2023-02-03
